STAT_ID,Latitude,Longitude,k600,pco2,avg_temp_air,kco2,fco2_gm2
300506,58.77595959,14.81083185,7.484561271578283,1577.1,5.58,11.23670000864164,3719.1036699424008
300511,58.77537032,12.50995124,6.400781468874349,636,5.54,9.621468918413106,687.7876049887781
300512,58.82650124,16.02033945,7.963688545984926,759.7,6.15,11.747911175715274,1216.8922072430198
300515,58.91019799,15.5391476,8.2920749535222,2238.6,5.86,12.342036595465316,6275.280113335814
300523,58.98154194,14.11681656,11.685183623843898,590.1,4.79,17.976652942508817,1085.6040926065687
300571,59.4029856,13.95317477,6.640514449764147,1870.6,5.34,10.043641742196876,4198.0885338134685
300574,59.39569832,13.24429211,7.224755359395168,816.5,4.14,11.340681844020482,1446.6574334824843
300578,59.43805618,13.43455272,6.260906860587969,933.8,2.03,10.492762103051275,1839.193768851841
300585,59.51137246,11.79488983,8.63656353922395,1450.5,5.06,13.17612321338033,3987.1961720391423
300595,59.67289868,12.9024877,7.143790234858557,958.8,4.5,11.089212450662753,1852.6074588750491
300597,59.65357471,11.90413663,9.641915867988992,913,4.63,14.906896477238298,2285.242153546498
300610,59.83044707,13.15724374,11.876324495427788,1579.6,3.89,18.787294611763905,6654.739002659529
300614,59.92234109,16.61088822,6.774050335215428,1409.2,5.35,10.242448702434146,2993.895777967938
300615,59.91896465,14.95983043,6.343116266987629,752.1,4.33,9.898322528489809,1084.2511500483924
300617,59.93267766,12.50539904,8.687169429842768,467.9,4.3,13.568782985981171,349.58555646456983
300619,59.95858708,17.91703461,6.3778974367808345,2138,5.56,9.581156386843224,4724.382186551027
300621,59.96377365,13.09301501,8.92650927711399,2167.1,4.3,13.942615967339274,7221.5894666251725
300623,60.00552825,13.59151025,15.221012384006517,903.4,1.27,26.117711750947546,4441.186752345786
300628,60.066209,13.52876661,16.067003186683735,662.9,1.21,27.620675447489774,2564.4006638602605
300631,60.11619913,15.52471381,6.3283151823662,1081.1,4.55,9.80816322491246,1983.301452043981
300633,60.16068421,15.18750261,21.073371512494106,358,4.1,33.11986196157113,-215.773145025556
300635,60.19158789,16.49673627,6.323339754933791,4639.6,4.7,9.755047673637883,11885.020916451753
300644,60.30647642,16.76974955,7.751132234945125,5887.5,4.93,11.872920347246785,18587.768436705108
300653,60.46569152,16.66402857,8.026560527453391,8812.8,4.83,12.332902381904564,29545.295687127244
300659,60.51764254,15.00872629,6.297129925487589,1210.6,3.83,9.980055571827902,2437.2150625618765
300663,60.53917003,13.12015451,8.065211071961475,436.7,2.78,13.205578582156322,231.7839780570696
300672,60.63699234,14.42477711,12.570907236217096,505.7,3.46,20.153103803909662,761.3186881443299
300673,60.65834532,15.78060488,6.199999999999999,544.2,3.61,9.893404115632675,486.4181461370947
300677,60.67845958,13.49645593,8.256131350090342,581.3,2.78,13.518182023437959,840.0310696482127
300678,60.68099946,13.51345837,7.435652154966448,1207.3,2.83,12.155887072461555,3076.11860083687
300682,60.71466577,14.0970808,7.160423168444606,1137.2,3.37,11.511367917897626,2618.260367842793
300685,60.74959826,16.52720894,8.289987868238747,1379.2,3.7,13.191536725082011,3907.937304759132
300686,60.73535276,13.53432138,7.0915351039871055,769.1,2.83,11.593320679597221,1381.0721320071586
300687,60.75895991,16.43220356,7.866973124519955,794.3,3.72,12.510645706949214,1534.8226565470998
300688,60.75952897,16.42561003,6.502888720809995,1015.9,3.72,10.341377245105864,1947.069514329546
300691,60.77615316,15.24988846,8.231282950523209,1289.1,3.62,13.1306689944372,3564.8683112938174
300692,60.78325745,14.66100091,10.423506814352326,768.8,3.52,16.679407748196198,1940.84460296168
300696,60.87381881,16.40366893,7.389698387909085,708.4,3.38,11.876273307792896,1166.7638518950812
300697,60.89027485,16.67046914,8.30353344761508,1327.9,4.13,13.038077985180758,3614.879305581542
300698,60.86332905,12.84640438,7.23274581294616,761.3,2.42,11.97563252176458,1416.3135617158812
300699,60.90515478,14.95101927,7.266756678145523,1010.2,3.71,11.559722130398427,2182.17189695592
300701,60.91903824,16.06105349,6.200000000000003,1254.2,3.04,10.069969460112208,2666.2451575544505
300706,60.94313807,12.47225535,7.657917443875434,988.3,2.08,12.81413586380111,2482.8586803242356
300708,61.05213931,16.28758395,13.299301098813189,1027.5,3.1,21.560381349499735,4231.528877463365
300710,61.09823683,13.29863513,8.237758409966496,673.5,2.25,13.711851909423489,1271.020679716632
300717,61.23044009,16.58354101,6.799662103129364,1119,3.62,10.846925429107642,2393.158647115651
300719,61.29338765,13.87733833,9.63965614605437,597.5,1.88,16.230644260147905,1129.451860056818
