StreamOrde,percGW_reach_median,percBZ_reach_median,percWC_reach_median
4,0.17896957776727915,0.7936897242707569,0
5,0.13772409057280127,0.6909137669269554,0
6,0.14569825026094957,0.5733539346640915,0
7,0.06265058020185409,0.7397993118963568,0
1,0.4753558407881541,0.2347329229188329,6.31357250134684e-5
2,0.4707318094644103,0.4473561209482272,2.530441695315762e-4
3,0.38740122770510665,0.5327947442108225,6.717850058104532e-4
4,0.2765134567008878,0.6100625194473408,0.0017429307550182772
5,0.2264092658609831,0.4581652227240911,0.004963355157855318
6,0.1857084477154184,0.5633882068321596,0.013584306247765476
7,0.18759359440390277,0.6297585657145576,0.04080823289217045
8,0.03308519978284243,0.7758861047154995,0.06871857168523242
1,0.4187833259587934,0.3020698285809199,0
2,0.39258878268240405,0.5609762378512042,0
3,NA,NA,NA
4,NA,NA,NA
5,0.16952235423175718,0.6552266794586343,0
6,0.15628589493849512,0.5898002850360858,0
7,0.11394460254250563,0.5976439004100592,0
8,0.06560748958911912,0,0
1,0.23723399082638652,0.5585553007192746,3.675086754261553e-4
2,0.14069500135255536,0.855754860291819,8.980638869692724e-4
3,0.09091706920353598,0.9252433903824788,0.0018446198621889101
4,0.05606576105964693,0.9600344293822847,0.004079143890696996
5,0.03360752945423549,0.9793359956141899,0.008732132309193775
6,0.02043136596661012,0.9334626423421196,0.019997304800207828
7,0.01512081186432742,0.7461254393811836,0.026050567107725377
8,0.004834802489185345,0.9643559970297176,0.0480060837896443
9,0.03156813875850323,0.011214176193442817,0
1,0.4434315636756432,0.2644583696938738,0
2,0.39582018242082656,0.5374798540456843,0
3,0.3087836670888215,0.6554952262380422,0
4,0.20193647387735775,0.735438608165417,0
5,0.1663084346227468,0.7263682613228979,0
6,0.08580552370095679,0.8727282382999233,0
7,0.0779323717478361,0.784057007079543,0
9,0.11618260748752324,0,0
1,0.48342885751508263,0.17324433897814323,0
2,0.46421210871052904,0.3854244614459246,0
3,0.7624514367049995,0.2649619566397867,0
4,0.8025384196402681,0.32834891925886567,0
